defect_id,runid,start_index,end_index,start_sensor,end_sensor,upstream,absolute_distance,orientation,length,length_percent,Width,width_new,width_new2,depth,depth_old,defect_type,dimension_classification,start_oddo1,end_oddo1,speed,Min_Val,Max_Val
1,1,0,432,0,143,0,5.994,5:22,167,129,540,540,477,6,65,Internal,GENERAL,5994.220367,6.160827926,21.39,35638,58841
2,1,549,577,140,143,0.21,6.205,11:12,10,8,9,8,5,18,12,Internal,PITTING,6204.670412,6.215001738,16.16,45751,51063
3,1,1093,1122,140,143,0.423,6.417,11:11,12,9,9,8,9,21,12,Internal,PITTING,6417.131195,6.429052336,8.59,45836,51329
4,1,1571,1617,134,143,0.607,6.602,10:51,17,13,28,26,18,10,14,Internal,PITTING,6601.688485,6.618661376,6.14,45371,51524
5,1,2720,2854,25,44,1.055,7.05,2:09,51,38,68,62,63,12,69,Internal,GENERAL,7049.695513,7.10118102,3.73,30443,51333
6,1,3009,3092,128,143,1.165,7.159,10:39,31,24,41,40,41,13,40,Internal,GENERAL,7158.842099,7.189896034,3.49,40641,56929
7,1,4264,4396,50,71,1.664,7.658,4:18,52,39,81,71,68,11,53,Internal,GENERAL,7658.037711,7.71001784,2.63,35960,54937
8,1,5078,5155,28,38,1.961,7.955,2:08,29,21,45,39,45,11,43,Internal,GENERAL,7955.461075,7.984170151,2.32,35244,50521
9,1,5609,5702,98,111,2.165,8.159,7:58,39,29,41,40,32,15,34,Internal,GENERAL,8158.867887,8.197883298,2.16,37025,49618
10,1,5856,5971,24,43,2.266,8.26,2:07,43,33,72,71,72,10,64,Internal,GENERAL,8260.244755,8.30358767,2.09,31985,52476
11,1,5922,5950,138,141,2.292,8.286,10:57,10,8,5,3,0,33,6,Internal,AXIAL SLOTTING,8285.933258,8.296021493,2.09,46099,49090
12,1,6455,6523,130,143,2.473,8.468,10:37,25,19,41,40,41,11,42,Internal,GENERAL,8467.599629,8.492689991,1.95,39886,56803
13,1,6985,7018,132,140,2.68,8.675,10:37,14,11,28,26,18,9,19,Internal,PITTING,8674.527073,8.688862179,1.86,44014,52465
14,1,7503,7529,100,104,2.902,8.896,7:47,11,8,18,17,5,9,17,Internal,PITTING,8896.273879,8.906820237,1.77,41148,47944
15,1,7886,7916,100,103,3.059,9.054,7:46,12,9,9,8,5,20,14,Internal,PITTING,9053.657985,9.065826859,1.72,42099,47923
16,1,9806,9821,140,143,3.789,9.783,11:05,6,4,9,8,5,10,4,Internal,CIRCUMFERENTIAL SLOTTING,9783.355644,9.789360546,1.5,46038,47950
17,1,10843,10907,0,21,4.18,10.174,0:04,24,19,64,63,60,7,36,Internal,GENERAL,10173.8101,10.1982741,1.4,41788,56671
18,1,11231,11283,128,143,4.334,10.328,10:34,22,17,41,40,41,9,29,Internal,GENERAL,10327.72503,10.34984308,1.38,43696,56306
19,1,11465,11540,129,143,4.434,10.429,10:34,32,25,41,40,41,13,21,Internal,GENERAL,10428.59223,10.46094258,1.36,43626,52677
20,1,11726,11756,135,140,4.545,10.54,10:43,13,10,18,17,9,11,10,Internal,PITTING,10539.647,10.55219551,1.35,45625,50026
21,1,12073,12124,0,21,4.688,10.682,0:03,21,16,64,63,60,6,32,Internal,CIRCUMFERENTIAL GROOVING,10682.43321,10.70339797,1.32,42937,56625
22,1,12355,12437,48,62,4.8,10.794,3:53,31,24,41,40,18,12,23,Internal,GENERAL,10794.40921,10.8252221,1.31,40366,49750
23,1,12852,12920,128,143,4.987,10.981,10:33,27,20,41,40,41,12,41,Internal,GENERAL,10981.02564,11.00772436,1.28,40624,57244
24,1,13300,15774,0,143,5.168,11.162,5:11,952,725,540,540,382,32,275,Internal,GENERAL,11161.77885,12.11415064,1.15,15644,58655
